framework,control_id,overall_status,evidence_count,passing_signals,failing_signals,evidence_ids,signal_descriptions
ISO 27001,A.5.15,FAIL,3,2,1,azure_entra_id_posture; azure_policy_compliance,"Tenant has 4 or fewer Global Administrators (Microsoft recommendation) | No user has Owner or Contributor assigned directly at subscription scope | No failures on high-value security policies (MFA, SSH, RDP, encryption)"
ISO 27001,A.5.16,PASS,2,2,0,azure_entra_id_posture,Tenant has 4 or fewer Global Administrators (Microsoft recommendation) | No expired or stale service principal credentials detected
ISO 27001,A.5.17,FAIL,2,1,1,azure_entra_id_posture,All enabled Entra ID users have at least one MFA method registered | A Conditional Access policy enforcing MFA is enabled
ISO 27001,A.5.18,PASS,1,1,0,azure_entra_id_posture,No expired or stale service principal credentials detected
ISO 27001,A.6.1.1,FAIL,1,0,1,azure_defender_findings,A security contact email is configured in Defender for Cloud
ISO 27001,A.8.15,FAIL,5,0,5,azure_activity_logs,Activity log diagnostic settings are configured on the subscription | Activity logs are sent to a durable destination (storage or Log Analytics) | Activity log retention is configured for 90 days or more | At least one activity log alert rule is enabled | Write events observed in the activity log within the lookback window
ISO 27001,A.8.24,PASS,1,1,0,azure_policy_compliance,"No failures on high-value security policies (MFA, SSH, RDP, encryption)"
ISO 27001,A.8.8,FAIL,9,3,6,azure_defender_findings; azure_policy_compliance,Azure Security Benchmark policy initiative is assigned to the subscription | A PCI-DSS policy initiative is assigned to the subscription | Microsoft Defender CSPM plan is enabled | Defender for Servers plan is enabled | Defender for Storage plan is enabled | All expected Defender for Cloud plans are enabled | Defender for Cloud Secure Score is 70% or above | Zero CRITICAL severity security alerts in Defender for Cloud | Zero HIGH severity security alerts in Defender for Cloud
ISO 27001,A.8.9,FAIL,5,2,3,azure_defender_findings; azure_policy_compliance,"All Azure Policy rules are compliant across the subscription | Azure Policy compliance rate is 90% or above | No failures on high-value security policies (MFA, SSH, RDP, encryption) | Azure Security Benchmark policy initiative is assigned to the subscription | Defender for Cloud Secure Score is 70% or above"
ISO 42001,6.4.1,FAIL,5,3,2,azure_entra_id_posture; azure_policy_compliance,"All enabled Entra ID users have at least one MFA method registered | A Conditional Access policy enforcing MFA is enabled | Tenant has 4 or fewer Global Administrators (Microsoft recommendation) | No user has Owner or Contributor assigned directly at subscription scope | No failures on high-value security policies (MFA, SSH, RDP, encryption)"
ISO 42001,6.5.1,FAIL,3,0,3,azure_activity_logs,Activity log diagnostic settings are configured on the subscription | Activity log retention is configured for 90 days or more | Write events observed in the activity log within the lookback window
ISO 42001,6.6.1,FAIL,4,2,2,azure_defender_findings; azure_policy_compliance,"All Azure Policy rules are compliant across the subscription | Azure Policy compliance rate is 90% or above | No failures on high-value security policies (MFA, SSH, RDP, encryption) | Defender for Cloud Secure Score is 70% or above"
ISO 42001,6.6.2,FAIL,4,1,3,azure_defender_findings,Microsoft Defender CSPM plan is enabled | Defender for Storage plan is enabled | All expected Defender for Cloud plans are enabled | Zero CRITICAL severity security alerts in Defender for Cloud
PCI-DSS,10.2.1,FAIL,3,0,3,azure_activity_logs,Activity log diagnostic settings are configured on the subscription | At least one activity log alert rule is enabled | Write events observed in the activity log within the lookback window
PCI-DSS,10.2.2,FAIL,2,0,2,azure_activity_logs,Activity log diagnostic settings are configured on the subscription | At least one activity log alert rule is enabled
PCI-DSS,10.3.3,FAIL,1,0,1,azure_activity_logs,Activity logs are sent to a durable destination (storage or Log Analytics)
PCI-DSS,10.7.1,FAIL,1,0,1,azure_activity_logs,Activity log retention is configured for 90 days or more
PCI-DSS,11.3.1,FAIL,7,1,6,azure_defender_findings; azure_policy_compliance,Azure Security Benchmark policy initiative is assigned to the subscription | A PCI-DSS policy initiative is assigned to the subscription | Microsoft Defender CSPM plan is enabled | Defender for Servers plan is enabled | Defender for Storage plan is enabled | All expected Defender for Cloud plans are enabled | Zero CRITICAL severity security alerts in Defender for Cloud
PCI-DSS,11.3.2,FAIL,1,0,1,azure_defender_findings,Microsoft Defender CSPM plan is enabled
PCI-DSS,12.10.2,FAIL,1,0,1,azure_defender_findings,A security contact email is configured in Defender for Cloud
PCI-DSS,2.2.1,FAIL,6,2,4,azure_defender_findings; azure_policy_compliance,"All Azure Policy rules are compliant across the subscription | Azure Policy compliance rate is 90% or above | No failures on high-value security policies (MFA, SSH, RDP, encryption) | Azure Security Benchmark policy initiative is assigned to the subscription | A PCI-DSS policy initiative is assigned to the subscription | Defender for Cloud Secure Score is 70% or above"
PCI-DSS,6.3.3,FAIL,4,2,2,azure_defender_findings; azure_policy_compliance,All Azure Policy rules are compliant across the subscription | All expected Defender for Cloud plans are enabled | Zero CRITICAL severity security alerts in Defender for Cloud | Zero HIGH severity security alerts in Defender for Cloud
PCI-DSS,7.1.1,FAIL,3,2,1,azure_entra_id_posture; azure_policy_compliance,"Tenant has 4 or fewer Global Administrators (Microsoft recommendation) | No user has Owner or Contributor assigned directly at subscription scope | No failures on high-value security policies (MFA, SSH, RDP, encryption)"
PCI-DSS,8.2.1,FAIL,1,0,1,azure_entra_id_posture,No user has Owner or Contributor assigned directly at subscription scope
PCI-DSS,8.3.9,PASS,1,1,0,azure_entra_id_posture,No expired or stale service principal credentials detected
PCI-DSS,8.4.2,FAIL,3,2,1,azure_entra_id_posture; azure_policy_compliance,"All enabled Entra ID users have at least one MFA method registered | A Conditional Access policy enforcing MFA is enabled | No failures on high-value security policies (MFA, SSH, RDP, encryption)"
PCI-DSS,8.4.3,FAIL,2,1,1,azure_entra_id_posture,All enabled Entra ID users have at least one MFA method registered | A Conditional Access policy enforcing MFA is enabled
SOC 2,CC6.1,FAIL,6,4,2,azure_entra_id_posture; azure_policy_compliance,"All enabled Entra ID users have at least one MFA method registered | A Conditional Access policy enforcing MFA is enabled | Tenant has 4 or fewer Global Administrators (Microsoft recommendation) | No expired or stale service principal credentials detected | No user has Owner or Contributor assigned directly at subscription scope | No failures on high-value security policies (MFA, SSH, RDP, encryption)"
SOC 2,CC6.2,PASS,1,1,0,azure_entra_id_posture,No expired or stale service principal credentials detected
